%Distancia,Elevacion
1592.7,895.902
1597.3,894.862
1601.9,893.769
1606.5,892.623
1611.1,891.392
1615.7,890.13
1620.3,888.842
1624.9,887.556
1629.4,886.418
1634,885.28
1638.6,884.141
1643.2,883.003
1647.8,881.865
1652.4,880.726
1657,879.535
1661.6,878.869
1666.2,878.442
1670.8,878.093
1675.3,877.823
1679.9,877.63
1684.5,877.516
1689.1,877.481
1693.7,877.464
1698.3,877.343
1702.9,877.098
1707.5,876.569
1712.1,876.198
1716.7,875.983
1721.2,875.924
1725.8,876.027
1730.4,876.717
1735,877.486
1739.6,878.333
1744.2,879.259
1748.8,880.263
1753.4,881.201
1758,882.039
1762.6,882.226
1767.1,882.017
1771.7,881.756
1776.3,881.443
1780.9,881.077
1785.5,880.659
1790.1,880.189
1794.7,879.663
1799.3,879.133
1803.9,878.715
1808.5,878.401
1813,878.192
1817.6,878.087
1822.2,878.087
1826.8,878.191
1831.4,878.433
1836,878.589
1840.6,878.641
1845.2,878.593
1849.8,878.532
1854.4,878.367
1858.9,878.097
1863.5,878.221
1868.1,878.844
1872.7,879.467
1877.3,880.09
1881.9,880.713
1886.5,881.336
1891.1,881.959
1895.7,882.566
1900.3,881.981
1904.8,881.343
1909.4,880.654
1914,879.912
1918.6,879.118
1923.2,878.271
1927.8,877.373
1932.4,876.472
1937,875.741
1941.6,875.245
1946.2,875.012
1950.7,874.883
1955.3,874.858
1959.9,874.938
1964.5,874.704
1969.1,873.773
1973.7,872.947
1978.3,872.226
1982.9,871.609
1987.5,871.096
1992.1,869.399
1996.6,867.275
2001.2,863.727
2005.8,860.233
2010.4,856.843
2015,853.557
2019.6,850.376
2024.2,847.299
2028.8,844.327
2033.4,841.004
2038,837.414
2042.5,834.049
2047.1,830.919
2051.7,828.024
2056.3,825.364
2060.9,822.939
2065.5,820.924
2070.1,819.525
2074.7,817.838
2079.3,815.864
2083.9,813.558
2088.4,810.781
2093,807.847
2097.6,804.757
2102.2,801.288
2106.8,798.089
2111.4,795.255
2116,792.787
2120.6,790.685
2125.2,788.948
2129.8,787.576
2134.3,784.498
2138.9,780.37
2143.5,776.686
2148.1,773.447
2152.7,770.65
2157.3,768.298
2161.9,766.39
2166.5,764.88
2171.1,762.683
2175.7,760.173
2180.2,757.266
2184.8,754.173
2189.4,751.132
2194,748.143
2198.6,745.206
2203.2,742.929
2207.8,741.1
2212.4,739.454
2217,737.991
2221.6,736.711
2226.1,735.576
2230.7,731.943
2235.3,726.675
2239.9,719.014
2244.5,711.744
2249.1,704.867
2253.7,698.38
2258.3,692.286
2262.9,686.583
2267.5,681.271
2272,677.891
2276.6,674.872
2281.2,671.998
2285.8,669.201
2290.4,666.483
2295,663.844
2299.6,661.282
2304.2,658.66
2308.8,655.935
2313.4,653.21
2317.9,650.485
2322.5,647.735
2327.1,644.914
2331.7,642.093
2336.3,639.294
2340.9,636.571
2345.5,633.769
2350.1,630.89
2354.7,627.932
2359.3,624.895
2363.8,621.78
2368.4,618.587
2373,616.848
2377.6,615.328
2382.2,613.65
2386.8,611.816
2391.4,609.826
2396,607.678
2400.6,605.374
2405.2,602.676
2409.7,599.566
2414.3,596.456
2418.9,593.55
2423.5,590.731
2428.1,587.755
2432.7,584.622
2437.3,581.347
2441.9,579.028
2446.5,576.813
2451.1,574.702
2455.6,572.696
2460.2,570.794
2464.8,569.074
2469.4,567.969
2474,567.523
2478.6,567.407
2483.2,567.239
2487.8,567.019
2492.4,566.746
2497,566.421
2500,1000
2501.5,566.044
2506.1,565.671
2510.7,565.46
2515.3,565.495
2519.9,565.566
2524.5,565.584
